species;size;class
Cornus sanguinea;0.68;plants
Crataegis monogyna;0.93;plants
Euonymus europaeus;0.61;plants
Euonymus verrucosus;0.51;plants
Frangula alnus;0.82;plants
Lonicera xylosteum;0.93;plants
Prunus padus;0.67;plants
Rhamnus cathartica;0.67;plants
Ribes alpinum;0.63;plants
Ribes nigrum;0.82;plants
Ribes spicatum;0.61;plants
Rubus idaeus;0.34;plants
Sambucus nigra;0.51;plants
Sorbus aucuparia;0.83;plants
Viburnum opulus;0.96;plants
Carpodacus erythrinus;0.99;animals
Coccothraustes coccothraustes;1.63;animals
Columba palumbus;1.16;animals
Dendrocopos leucotos;1.7;animals
Dendrocopos major;0.96;animals
Dendrocopos medius;0.91;animals
Erithacus rubecula;0.78;animals
Ficedula hypoleuca;0.78;animals
Ficedula parva;0.4;animals
Fringilla coelebs;0.8;animals
Garrulus glandarius;1.88;animals
Hippolais icterina;0.78;animals
Luscinia luscinia;0.92;animals
Muscicapa striata;0.84;animals
Oriolus oriolus;1.33;animals
Parus major;0.73;animals
Periparus ater;0.53;animals
Phylloscopus trochilus;0.52;animals
Poecile palustris;0.43;animals
Prunella modularis;0.68;animals
Pyrrhula pyrrhula;1.02;animals
Sitta europaea;0.83;animals
Sylvia atricapilla;0.81;animals
Sylvia borin;0.82;animals
Tetrastes bonasia;1.17;animals
Turdus iliacus;1.12;animals
Turdus merula;1.34;animals
Turdus philomelos;1.29;animals
Turdus pilaris;1.1;animals
Turdus viscivorus;1.27;animals
